,Protein,Fat,Carb,Fiber
Bread,106.7,45.300000000000004,475.4,40.0
Rice,39.900000000000006,3.4000000000000004,213.4,18.0
Wheat,74.9,12.7,425.3,11.0
Livestock,174.4,81.0,0.4,0.0
Apples,9.3,3.2,658.9,87.0
Bananas,38.9,18.1,882.8,99.0
Beans,18.0,32.0,28.0,1.0
Carrots,9.3,2.4,95.8,28.0
Cheese,269.6,309.9,14.399999999999999,0.0
Eggs,480.5,439.0,11.299999999999999,0.0
Fish,204.20000000000002,2.5,0.0,0.0
Lentils,246.29999999999998,10.600000000000001,633.5,107.0
Meat,181.70000000000002,189.8,4.699999999999999,0.0
Milk,457.1,171.4,185.0,71.0
Onions,11.0,1.0,93.4,17.0
Pasta,142.89999999999998,17.9,732.0999999999999,89.0
Potatoes,25.7,1.0,124.39999999999999,25.0
Sugar,1.2,0.0,980.9000000000001,0.0
Tea,0.0,0.0,0.0,0.0
Tomatoes,7.9,2.5,34.7,19.0
Cabbage,12.8,1.0,58.0,25.0
Cucumbers,5.8999999999999995,1.6,21.6,7.0
Wheat flour,119.80000000000001,16.599999999999998,725.3,24.0
Cassava meal,13.600000000000001,2.8000000000000003,380.6,18.0
Maize,87.5,50.9,738.9,84.0
Sorghum,106.19999999999999,34.6,720.9000000000001,67.0
Millet,35.099999999999994,10.0,236.70000000000002,13.0
Noodles,17.9,2.0,240.10000000000002,10.0
Cassava flour,13.600000000000001,2.8000000000000003,380.6,18.0
Sweet potatoes,19.8,2.0,231.9,17.0
Groundnuts,182.2,438.5,438.5,33.0
Cassava,13.600000000000001,2.8000000000000003,380.6,18.0
Peas,28.0,2.0,75.5,26.0
Sesame,403.2,118.9,351.4,0.0
Soybeans,129.5,68.0,110.5,42.0
Blackberry,13.899999999999999,4.9,96.1,53.0
Broccoli,38.3,5.2,31.200000000000003,28.0
Cauliflower,30.4,3.1,62.800000000000004,33.0
Chickpeas,223.9,66.9,578.2,108.0
Cocoa,196.0,137.0,579.0,370.0
Coffee,0.8999999999999999,0.0,7.5,0.0
Mangoes,8.2,3.8,149.8,16.0
Oranges,13.0,3.0,155.0,45.0
Papaya,4.699999999999999,2.6,108.2,17.0
Plantains,15.2,1.6,413.7,22.0
Pumpkin,10.0,1.0,65.0,5.0
Spinach,28.599999999999998,3.9000000000000004,36.3,22.0
Tamarillos/tree tomatoes,7.9,2.5,34.7,19.0
Garlic,63.6,5.0,330.6,21.0
Guava,25.5,9.5,143.2,54.0
Maize flour,87.5,50.9,738.9,84.0
Salt,0.0,0.0,0.0,0.0
Cornstarch,2.6,0.5,912.6999999999999,9.0
Peanut,258.0,492.40000000000003,161.29999999999998,85.0
Yam,15.3,1.7000000000000002,278.8,41.0
Cashew,50.0,140.0,80.0,10.0
Maize meal,87.5,50.9,738.9,84.0
Fonio,35.099999999999994,10.0,236.70000000000002,13.0
Ghee,0.0,1000.0,0.0,0.0
Bulgur,30.8,2.4,185.79999999999998,45.0
Lettuce,13.600000000000001,1.5,28.700000000000003,13.0
Cowpeas,46.7,1.0,28.0,0.0
Pulses,258.0,492.40000000000003,161.29999999999998,85.0
Gari,17.9,17.9,785.6999999999999,0.0
Poultry,174.4,81.0,0.4,0.0
Avocados,19.6,154.1,86.4,68.0
Chili,7.199999999999999,2.7,46.0,17.0
Eggplants,9.8,1.7999999999999998,58.8,30.0
Passion fruit,22.0,7.0,233.79999999999998,104.0
Peppers,7.199999999999999,2.7,46.0,17.0
Sorghum flour,106.19999999999999,34.6,720.9000000000001,67.0
Cassava leaves,13.600000000000001,2.8000000000000003,380.6,18.0
Zucchini,12.1,3.2,31.099999999999998,10.0
Labaneh,74.9,61.7,57.300000000000004,0.0
Water,0.0,0.0,0.0,0.0
Yogurt,74.9,61.7,57.300000000000004,0.0
Dates,18.1,1.5,749.7,67.0
Parsley,29.700000000000003,7.9,63.3,33.0
Beetroots,10.0,0.0,130.0,20.0
Buckwheat grits,132.5,34.0,715.0,100.0
Butter,0.0,1000.0,0.0,0.0
Curd,125.0,81.0,69.0,0.0
Fat,0.0,1000.0,0.0,0.0
Sour cream,24.4,193.5,46.3,0.0
